id,statcode,statnaam,jrstatcode,rubriek,id_2,LEVL_CODE,NUTS_ID,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,freq,sex,unit,age,geo\TIME_PERIOD,2014,2015,2016,2017,2018,2019
cbs_gemeente_2020_labelpoint.23,GM0093,Terschelling,2020GM0093,gemeente,NL124,"3",NL124,NL,Noord-Friesland,Noord-Friesland,"4","2","1",NL124,A,T,NR,TOTAL,NL124,"324368 ","324103 ","324077 ","324367 ","324251 ","324653 "
cbs_gemeente_2020_labelpoint.24,GM0096,Vlieland,2020GM0096,gemeente,NL124,"3",NL124,NL,Noord-Friesland,Noord-Friesland,"4","2","1",NL124,A,T,NR,TOTAL,NL124,"324368 ","324103 ","324077 ","324367 ","324251 ","324653 "
cbs_gemeente_2020_labelpoint.25,GM0098,Weststellingwerf,2020GM0098,gemeente,NL126,"3",NL126,NL,Zuidoost-Friesland,Zuidoost-Friesland,"4","2","2",NL126,A,T,NR,TOTAL,NL126,"186355 ","186777 ","186650 ","186764 ","187013 ","187255 "
cbs_gemeente_2020_labelpoint.26,GM0106,Assen,2020GM0106,gemeente,NL131,"3",NL131,NL,Noord-Drenthe,Noord-Drenthe,"4","2","2",NL131,A,T,NR,TOTAL,NL131,"189493 ","189359 ","189597 ","192497 ","192102 ","191515 "
cbs_gemeente_2020_labelpoint.27,GM0109,Coevorden,2020GM0109,gemeente,NL132,"3",NL132,NL,Zuidoost-Drenthe,Zuidoost-Drenthe,"4","2","3",NL132,A,T,NR,TOTAL,NL132,"169448 ","168812 ","168336 ","168131 ","167842 ","167968 "
cbs_gemeente_2020_labelpoint.28,GM0114,Emmen,2020GM0114,gemeente,NL132,"3",NL132,NL,Zuidoost-Drenthe,Zuidoost-Drenthe,"4","2","3",NL132,A,T,NR,TOTAL,NL132,"169448 ","168812 ","168336 ","168131 ","167842 ","167968 "
cbs_gemeente_2020_labelpoint.29,GM0118,Hoogeveen,2020GM0118,gemeente,NL133,"3",NL133,NL,Zuidwest-Drenthe,Zuidwest-Drenthe,"4","2","3",NL133,A,T,NR,TOTAL,NL133,"130047 ","130405 ","130696 ","131164 ","132156 ","132684 "
cbs_gemeente_2020_labelpoint.30,GM0119,Meppel,2020GM0119,gemeente,NL133,"3",NL133,NL,Zuidwest-Drenthe,Zuidwest-Drenthe,"4","2","3",NL133,A,T,NR,TOTAL,NL133,"130047 ","130405 ","130696 ","131164 ","132156 ","132684 "
cbs_gemeente_2020_labelpoint.31,GM0141,Almelo,2020GM0141,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.32,GM0147,Borne,2020GM0147,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.33,GM0148,Dalfsen,2020GM0148,gemeente,NL211,"3",NL211,NL,Noord-Overijssel,Noord-Overijssel,"4","2","3",NL211,A,T,NR,TOTAL,NL211,"360744 ","361694 ","364300 ","366319 ","368819 ","371608 "
cbs_gemeente_2020_labelpoint.34,GM0150,Deventer,2020GM0150,gemeente,NL212,"3",NL212,NL,Zuidwest-Overijssel,Zuidwest-Overijssel,"4","2","3",NL212,A,T,NR,TOTAL,NL212,"152611 ","152982 ","153455 ","154159 ","154834 ","155539 "
cbs_gemeente_2020_labelpoint.35,GM0153,Enschede,2020GM0153,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.36,GM0158,Haaksbergen,2020GM0158,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.37,GM0160,Hardenberg,2020GM0160,gemeente,NL211,"3",NL211,NL,Noord-Overijssel,Noord-Overijssel,"4","2","3",NL211,A,T,NR,TOTAL,NL211,"360744 ","361694 ","364300 ","366319 ","368819 ","371608 "
